source_table,source_column,target_table,target_column,constraint_name
challenge_conversations,challenge_id,challenges,id,challenge_conversations_challenge_id_fkey
challenge_matches,challenge_id,challenges,id,fk_challenge_matches_challenge
challenge_matches,challenge_id,challenges,id,challenge_matches_challenge_id_fkey
challenges,challenger_id,profiles,user_id,challenges_challenger_id_fkey
challenges,club_id,club_profiles,id,challenges_club_id_fkey
challenges,opponent_id,profiles,user_id,challenges_opponent_id_fkey
chat_messages,session_id,user_chat_sessions,id,chat_messages_session_id_fkey
club_facilities,club_id,club_profiles,id,fk_club_facilities_club_id
club_instructors,club_id,club_profiles,id,fk_club_instructors_club_id
club_members,club_id,club_profiles,id,fk_club_members_club_id
club_profiles,user_id,profiles,user_id,club_profiles_user_id_fkey
daily_challenge_stats,user_id,profiles,user_id,daily_challenge_stats_user_id_fkey
favorite_opponents,user_id,profiles,user_id,favorite_opponents_user_id_fkey
favorite_opponents,opponent_user_id,profiles,user_id,favorite_opponents_opponent_user_id_fkey
instructor_certifications,instructor_id,club_instructors,id,fk_instructor_certifications_instructor_id
match_results,match_id,matches,id,match_results_match_id_fkey
matches,challenge_id,challenges,id,matches_challenge_id_fkey
matches,tournament_id,tournaments,id,matches_tournament_id_fkey
memberships,club_id,clubs,id,memberships_club_id_fkey
memberships,user_id,profiles,user_id,memberships_user_id_fkey
player_rankings,current_rank_id,ranks,id,player_rankings_current_rank_id_fkey
player_rankings,user_id,profiles,user_id,player_rankings_user_id_fkey
rank_requests,user_id,profiles,user_id,fk_rank_requests_user_id
rank_requests,club_id,club_profiles,id,fk_rank_requests_club_id
rank_test_results,test_schedule_id,test_schedules,id,fk_rank_test_results_schedule_id
rank_test_results,rank_verification_id,rank_verifications,id,fk_rank_test_results_verification_id
rank_verifications,club_id,club_profiles,id,fk_rank_verifications_club_id
rank_verifications,instructor_id,club_instructors,id,fk_rank_verifications_instructor_id
reward_redemptions,user_id,profiles,user_id,reward_redemptions_user_id_fkey
spa_points_log,user_id,profiles,user_id,spa_points_log_user_id_fkey
spa_transactions,user_id,profiles,user_id,spa_transactions_user_id_fkey
test_schedules,club_id,club_profiles,id,fk_test_schedules_club_id
test_schedules,instructor_id,club_instructors,id,fk_test_schedules_instructor_id
tournament_matches,tournament_id,tournaments,id,tournament_matches_tournament_id_fkey
tournament_physical_prizes,tournament_id,tournaments,id,tournament_physical_prizes_tournament_id_fkey
tournament_point_configs,tournament_id,tournaments,id,tournament_point_configs_tournament_id_fkey
tournament_prize_tiers,tournament_id,tournaments,id,tournament_prize_tiers_tournament_id_fkey
tournament_registrations,user_id,profiles,user_id,tournament_registrations_user_id_fkey
tournament_registrations,tournament_id,tournaments,id,tournament_registrations_tournament_id_fkey
tournament_results,tournament_id,tournaments,id,tournament_results_tournament_id_fkey
tournament_results,user_id,profiles,user_id,tournament_results_user_id_fkey
tournament_reward_templates,club_id,club_profiles,id,tournament_reward_templates_club_id_fkey
tournament_seeding,tournament_id,tournaments,id,tournament_seeding_tournament_id_fkey
tournament_special_awards,tournament_id,tournaments,id,tournament_special_awards_tournament_id_fkey
tournaments,club_id,club_profiles,id,tournaments_club_id_fkey
user_bonus_claims,activity_id,spa_bonus_activities,id,user_bonus_claims_activity_id_fkey
user_chat_sessions,user_id,profiles,user_id,user_chat_sessions_user_id_fkey
user_milestone_progress,milestone_id,spa_milestones,id,user_milestone_progress_milestone_id_fkey
user_penalties,issued_by,profiles,user_id,user_penalties_issued_by_fkey
user_penalties,user_id,profiles,user_id,user_penalties_user_id_fkey
user_streaks,user_id,profiles,user_id,user_streaks_user_id_fkey
